Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,30567.65039,30913.25,30451.40039,30847.05078,30847.05078,0
26-06-2019,30809.19922,31202.69922,30766.65039,31162.34961,31162.34961,0
27-06-2019,31192.09961,31490.59961,31158.80078,31269.5,31269.5,0
28-06-2019,31281,31308.90039,31060.59961,31105.19922,31105.19922,0
01-07-2019,31271,31449.65039,31247.44922,31372.19922,31372.19922,0
02-07-2019,31414.65039,31431.34961,31105.09961,31283.30078,31283.30078,0
03-07-2019,31347.69922,31466.34961,31242.09961,31382.30078,31382.30078,0
04-07-2019,31471,31608.34961,31428.05078,31471.84961,31471.84961,242986000
05-07-2019,31523.05078,31660.75,31323.25,31475.80078,31475.80078,0
08-07-2019,31346.84961,31346.84961,30538.55078,30603.84961,30603.84961,0
09-07-2019,30533.40039,30702.05078,30348.84961,30569.15039,30569.15039,0
10-07-2019,30618.05078,30728.34961,30431.25,30522.09961,30522.09961,0
11-07-2019,30707,30787,30566.09961,30716.55078,30716.55078,0
12-07-2019,30789.75,30861.40039,30550.75,30601.44922,30601.44922,0
15-07-2019,30688.84961,30688.84961,30334.65039,30445.94922,30445.94922,0
16-07-2019,30532.65039,30632.15039,30430.15039,30570.80078,30570.80078,0
17-07-2019,30622.25,30799.30078,30570.05078,30735.5,30735.5,0
18-07-2019,30705.80078,30768.09961,30379,30430.59961,30430.59961,0
19-07-2019,30515.09961,30537.65039,29705.90039,29770.34961,29770.34961,0
22-07-2019,29617.05078,29635.15039,29194.09961,29284.94922,29284.94922,339800
23-07-2019,29342.44922,29364.40039,29078.80078,29128.09961,29128.09961,0
24-07-2019,29085.44922,29250.75,28872.30078,28952.25,28952.25,0
25-07-2019,28981.05078,29240.80078,28931.05078,29043.05078,29043.05078,0
26-07-2019,29062.5,29377.59961,28999.55078,29325.30078,29325.30078,0
29-07-2019,29583.44922,29583.44922,29106.75,29295.90039,29295.90039,0
30-07-2019,29434.84961,29528.30078,28739.5,28791.59961,28791.59961,0
31-07-2019,28575.44922,28974.19922,28537,28876,28876,0
01-08-2019,28660.5,28819.69922,28047.34961,28367.25,28367.25,0
02-08-2019,28224.25,28541.19922,27937.55078,28204.94922,28204.94922,310300
05-08-2019,27841.19922,27866.55078,27389.5,27648.05078,27648.05078,0
06-08-2019,27518.5,28147.40039,27518.5,28022.09961,28022.09961,0
07-08-2019,28053.84961,28175.55078,27641.84961,27702.05078,27702.05078,0
08-08-2019,27840.09961,28225,27531.94922,28110.44922,28110.44922,0
09-08-2019,28293.65039,28602.19922,28254.69922,28431.90039,28431.90039,0
13-08-2019,28356.80078,28358.84961,27683.5,27729.09961,27729.09961,0
14-08-2019,27885.5,28104.59961,27729.40039,28019.19922,28019.19922,0
16-08-2019,27920.30078,28250.15039,27720.94922,28217,28217,0
19-08-2019,28331.25,28468.90039,28146.5,28186.09961,28186.09961,0
20-08-2019,28029.80078,28038.59961,27864.59961,27982.44922,27982.44922,0
21-08-2019,28021,28098.90039,27666.19922,27719.05078,27719.05078,0
22-08-2019,27690.05078,27690.05078,26975.55078,27034.19922,27034.19922,0
23-08-2019,26835.34961,27207.30078,26560.59961,26958.65039,26958.65039,0
26-08-2019,27663.94922,27995.25,26859.34961,27951.34961,27951.34961,0
27-08-2019,28106.30078,28277.69922,27960.80078,28126.15039,28126.15039,0
28-08-2019,28080.25,28095.55078,27634.65039,27804.30078,27804.30078,0
29-08-2019,27694.94922,27719.05078,27239.94922,27305.19922,27305.19922,0
30-08-2019,27407.90039,27586.5,27121.94922,27427.84961,27427.84961,0
03-09-2019,27239.19922,27247.05078,26742.59961,26824.15039,26824.15039,0
04-09-2019,26785.94922,27278.69922,26641.34961,27123.84961,27123.84961,0
05-09-2019,27086.94922,27243.94922,26815.40039,26919.69922,26919.69922,0
06-09-2019,26986.5,27311.05078,26950.55078,27247.90039,27247.90039,0
09-09-2019,27240.34961,27565.55078,26993.90039,27504.65039,27504.65039,0
11-09-2019,27639.05078,27829.65039,27551.65039,27776.19922,27776.19922,0
12-09-2019,27870.80078,28062.30078,27764.69922,27818.5,27818.5,0
13-09-2019,27772,28126.84961,27573.44922,28098.75,28098.75,0
16-09-2019,27868,28066.69922,27798.84961,27855,27855,0
17-09-2019,27765.09961,27851.40039,27047.94922,27131.75,27131.75,0
18-09-2019,27304.69922,27414.44922,27088.80078,27172.65039,27172.65039,0
19-09-2019,27175.44922,27175.44922,26643,26757.65039,26757.65039,0
20-09-2019,26878.65039,29418.94922,26727.55078,28981.55078,28981.55078,0
23-09-2019,30039.40039,30801.30078,29776.30078,30566.19922,30566.19922,0
24-09-2019,30432,30668.09961,29889.55078,30183.09961,30183.09961,0
25-09-2019,30029.05078,30067.59961,29470.09961,29586.05078,29586.05078,0
26-09-2019,29640.55078,30718.34961,29627,30002.59961,30002.59961,0
27-09-2019,29974.94922,30112.65039,29711.34961,29876.65039,29876.65039,0
30-09-2019,29674.80078,29754.40039,28943.44922,29103.15039,29103.15039,0
01-10-2019,29226.15039,29526.40039,28077.34961,28725.5,28725.5,1187300
03-10-2019,28606.69922,28769.09961,28240.80078,28414.09961,28414.09961,0
04-10-2019,28681.90039,28730.30078,27653.69922,27731.84961,27731.84961,0
07-10-2019,27909.90039,28185.15039,27568.34961,27767.55078,27767.55078,0
09-10-2019,27901.65039,28857.69922,27702.05078,28785.84961,28785.84961,0
10-10-2019,28542.94922,28552.75,27914.15039,28013.44922,28013.44922,0
11-10-2019,28245.55078,28604.05078,27736.80078,28042.5,28042.5,0
14-10-2019,28238.5,28553.40039,28043.25,28181.94922,28181.94922,0
15-10-2019,28257.84961,28694.84961,28186.25,28555.09961,28555.09961,0
16-10-2019,28689.44922,28759.34961,28305.40039,28538.80078,28538.80078,0
17-10-2019,28596.34961,29049.05078,28487.94922,28989.44922,28989.44922,0
18-10-2019,28954.80078,29249.5,28864.09961,29120.25,29120.25,0
22-10-2019,29416.25,29690,29231.19922,29411.15039,29411.15039,0
23-10-2019,29478.84961,29643.80078,29214.05078,29459.59961,29459.59961,0
24-10-2019,29604.34961,29693.25,28994.19922,29107.94922,29107.94922,0
25-10-2019,29228.65039,29452.09961,28923.80078,29395.94922,29395.94922,0
27-10-2019,null,null,null,null,null,null
29-10-2019,29527.59961,29997.65039,29385.44922,29873.05078,29873.05078,0
30-10-2019,30005.69922,30151.09961,29753,29987.5,29987.5,0
31-10-2019,30168.65039,30415.65039,29987.15039,30066.25,30066.25,0
01-11-2019,30196.15039,30409,30028.90039,30330.55078,30330.55078,0
04-11-2019,30415.90039,30607.05078,30227.25,30333.09961,30333.09961,0
05-11-2019,30403.25,30452.69922,30091.34961,30219.84961,30219.84961,0
06-11-2019,30225.19922,30699,30013.65039,30609.59961,30609.59961,0
07-11-2019,30722.59961,30821.34961,30462.55078,30633.15039,30633.15039,364800
08-11-2019,30571.30078,31108.40039,30504.05078,30749.40039,30749.40039,0
11-11-2019,30664.65039,31205.19922,30625.80078,31115.55078,31115.55078,0
13-11-2019,31084.75,31198.5,30488.09961,30541.55078,30541.55078,0
14-11-2019,30615.80078,30789.19922,30338.34961,30749.94922,30749.94922,0
15-11-2019,30912.40039,31165.44922,30860.69922,31008.40039,31008.40039,0
18-11-2019,31036.80078,31203.55078,30901.84961,30992.09961,30992.09961,0
19-11-2019,31045.15039,31298.05078,30974.30078,31236.25,31236.25,0
20-11-2019,31292.34961,31471.65039,31205.55078,31353.84961,31353.84961,0
21-11-2019,31413.25,31463.15039,31243,31349.94922,31349.94922,0
22-11-2019,31389.59961,31394.19922,31055.19922,31111.59961,31111.59961,0
25-11-2019,31065.09961,31591.59961,31049.75,31555.90039,31555.90039,0
26-11-2019,31692.84961,31850.34961,31465.84961,31718.34961,31718.34961,0
27-11-2019,31832.75,31916.80078,31734.5,31875.94922,31875.94922,0
28-11-2019,31981.69922,32157.05078,31905.90039,32122.94922,32122.94922,498300
29-11-2019,32074.15039,32086.94922,31770.80078,31946.09961,31946.09961,0
02-12-2019,32008.30078,32024.09961,31720.59961,31871.44922,31871.44922,0
03-12-2019,31920.09961,31936.59961,31502.94922,31613.34961,31613.34961,0
